sample_id,mission_type,description_text,clip_match_score,predicted_activity_class,activity_class_confidence,person_count_pred,trash_bag_detected,recyclable_item_detected,recycle_bin_detected,litter_picker_detected,image_quality_score,text_length,mission_match_flag,final_label
s0,kindness_activity,kindness_activity description 0,0.4066,kindness_activity,0.6069,2,0,0,0,0,0.5232,76,1,rejected
s1,jogging_group,jogging_group description 1,0.5356,group_cleanup,0.5442,0,1,1,0,1,0.5104,15,0,rejected
s2,jogging_group,jogging_group description 2,0.8694,jogging_group,0.6947,1,1,0,0,1,0.4258,68,1,needs_review
s3,recycling,recycling description 3,0.1538,recycling,0.5906,3,0,1,1,0,0.7407,68,1,rejected
s4,jogging_group,jogging_group description 4,0.6242,jogging_group,0.3935,0,1,1,1,1,0.5302,60,1,rejected
s5,jogging_group,jogging_group description 5,0.2157,jogging_group,0.9536,1,1,1,0,1,0.9265,42,1,rejected
s6,energy_saving,energy_saving description 6,0.9226,energy_saving,0.5249,2,1,1,0,0,0.6442,74,1,needs_review
s7,recycling,recycling description 7,0.6795,recycling,0.9576,3,0,1,1,0,0.8142,57,1,needs_review
s8,energy_saving,energy_saving description 8,0.2183,energy_saving,0.4744,1,1,1,0,1,0.943,66,1,rejected
s9,jogging_group,jogging_group description 9,0.4407,jogging_group,0.9351,5,1,0,1,0,0.282,36,1,needs_review
s10,kindness_activity,kindness_activity description 10,0.2414,kindness_activity,0.6886,5,1,1,1,0,0.2079,38,1,rejected
s11,recycling,recycling description 11,0.5341,recycling,0.7006,4,0,1,1,1,0.5473,80,1,needs_review
s12,jogging_group,jogging_group description 12,0.2281,jogging_group,0.6331,2,1,0,0,0,0.4612,48,1,rejected
s13,energy_saving,energy_saving description 13,0.7666,energy_saving,0.5403,0,1,1,1,0,0.4252,19,1,needs_review
s14,group_cleanup,group_cleanup description 14,0.8218,group_cleanup,0.7672,1,0,0,0,1,0.6199,64,1,needs_review
s15,recycling,recycling description 15,0.7781,recycling,0.4286,5,1,1,0,0,0.5372,59,1,needs_review
s16,energy_saving,energy_saving description 16,0.1038,energy_saving,0.4921,5,0,0,0,1,0.4445,63,1,rejected
s17,group_cleanup,group_cleanup description 17,0.323,group_cleanup,0.6641,5,1,1,1,0,0.4609,63,1,needs_review
s18,jogging_group,jogging_group description 18,0.2466,jogging_group,0.8524,4,0,0,1,0,0.3789,19,1,rejected
s19,recycling,recycling description 19,0.4173,energy_saving,0.5886,1,1,1,0,1,0.6766,27,0,needs_review
s20,jogging_group,jogging_group description 20,0.2418,jogging_group,0.4291,3,0,1,0,1,0.3024,54,1,rejected
s21,jogging_group,jogging_group description 21,0.5296,jogging_group,0.7724,3,1,1,0,0,0.624,33,1,needs_review
s22,kindness_activity,kindness_activity description 22,0.1278,kindness_activity,0.4992,3,1,0,0,1,0.7813,51,1,rejected
s23,jogging_group,jogging_group description 23,0.7992,energy_saving,0.677,3,0,0,1,0,0.5373,49,0,needs_review
s24,group_cleanup,group_cleanup description 24,0.4732,group_cleanup,0.8352,1,0,1,1,0,0.6621,31,1,needs_review
s25,recycling,recycling description 25,0.7846,recycling,0.6673,4,0,1,1,1,0.6296,70,1,needs_review
s26,group_cleanup,group_cleanup description 26,0.2153,group_cleanup,0.584,0,1,0,0,0,0.3097,46,1,rejected
s27,recycling,recycling description 27,0.7473,recycling,0.6377,4,1,1,1,1,0.2566,16,1,needs_review
s28,energy_saving,energy_saving description 28,0.5383,energy_saving,0.9461,2,1,1,1,0,0.8517,16,1,rejected
s29,energy_saving,energy_saving description 29,0.6396,energy_saving,0.8866,4,1,0,1,0,0.571,46,1,rejected
s30,kindness_activity,kindness_activity description 30,0.3871,kindness_activity,0.6906,3,1,0,0,0,0.6696,63,1,rejected
s31,group_cleanup,group_cleanup description 31,0.2056,group_cleanup,0.6045,0,1,0,0,1,0.3192,40,1,rejected
s32,group_cleanup,group_cleanup description 32,0.6564,group_cleanup,0.5566,5,0,0,1,1,0.7445,34,1,approved
s33,energy_saving,energy_saving description 33,0.6572,energy_saving,0.3007,3,0,0,0,1,0.207,48,1,rejected
s34,group_cleanup,group_cleanup description 34,0.9399,group_cleanup,0.3912,0,0,1,0,0,0.2774,52,1,needs_review
s35,kindness_activity,kindness_activity description 35,0.2166,kindness_activity,0.8197,1,0,0,0,0,0.5301,32,1,rejected
s36,recycling,recycling description 36,0.8819,recycling,0.6052,1,0,0,0,0,0.6422,54,1,needs_review
s37,kindness_activity,kindness_activity description 37,0.9188,kindness_activity,0.3965,2,0,0,1,0,0.8359,43,1,needs_review
s38,recycling,recycling description 38,0.5401,recycling,0.816,2,0,0,1,1,0.2846,68,1,needs_review
s39,jogging_group,jogging_group description 39,0.1604,jogging_group,0.3083,2,1,0,1,1,0.4741,27,1,rejected
s40,energy_saving,energy_saving description 40,0.9113,energy_saving,0.3115,0,0,1,0,0,0.8919,55,1,needs_review
s41,jogging_group,jogging_group description 41,0.3435,jogging_group,0.8293,3,1,0,0,1,0.2627,15,1,rejected
s42,jogging_group,jogging_group description 42,0.8828,jogging_group,0.4072,2,1,0,1,1,0.7475,35,1,approved
s43,group_cleanup,group_cleanup description 43,0.3078,group_cleanup,0.38,4,0,1,0,0,0.2095,22,1,rejected
s44,group_cleanup,group_cleanup description 44,0.2393,group_cleanup,0.6609,5,1,0,1,0,0.7623,39,1,needs_review
s45,group_cleanup,group_cleanup description 45,0.7557,energy_saving,0.4877,0,1,0,1,1,0.5831,12,0,needs_review
s46,energy_saving,energy_saving description 46,0.8305,recycling,0.476,0,0,0,0,0,0.844,6,0,needs_review
s47,recycling,recycling description 47,0.1391,recycling,0.935,1,0,1,0,1,0.3862,45,1,rejected
s48,kindness_activity,kindness_activity description 48,0.8021,kindness_activity,0.3824,5,0,0,0,0,0.9156,13,1,needs_review
s49,energy_saving,energy_saving description 49,0.8361,energy_saving,0.5144,0,1,0,1,0,0.4187,43,1,needs_review
s50,jogging_group,jogging_group description 50,0.3062,jogging_group,0.9706,1,0,0,0,1,0.2179,74,1,rejected
s51,kindness_activity,kindness_activity description 51,0.6406,kindness_activity,0.3066,2,0,1,1,0,0.3539,35,1,rejected
s52,energy_saving,energy_saving description 52,0.5182,recycling,0.791,0,0,0,1,1,0.5438,15,0,rejected
s53,jogging_group,jogging_group description 53,0.1812,energy_saving,0.3516,4,0,1,0,0,0.4188,45,0,rejected
s54,energy_saving,energy_saving description 54,0.6956,energy_saving,0.5195,2,0,0,0,0,0.785,79,1,needs_review
s55,group_cleanup,group_cleanup description 55,0.2321,energy_saving,0.5167,0,1,0,1,1,0.5475,20,0,rejected
s56,group_cleanup,group_cleanup description 56,0.234,group_cleanup,0.8702,5,0,0,1,0,0.2684,36,1,needs_review
s57,kindness_activity,kindness_activity description 57,0.4368,kindness_activity,0.4795,1,0,1,1,0,0.271,18,1,rejected
s58,recycling,recycling description 58,0.2032,recycling,0.3902,3,1,0,1,0,0.2164,13,1,rejected
s59,recycling,recycling description 59,0.8671,recycling,0.3889,2,0,0,1,0,0.326,78,1,needs_review
s60,energy_saving,energy_saving description 60,0.7984,energy_saving,0.3203,5,1,0,1,0,0.8812,40,1,needs_review
s61,kindness_activity,kindness_activity description 61,0.4791,jogging_group,0.7272,1,1,1,1,1,0.2457,40,0,rejected
s62,energy_saving,energy_saving description 62,0.2167,jogging_group,0.4719,4,0,1,1,1,0.6084,67,0,rejected
s63,kindness_activity,kindness_activity description 63,0.8758,kindness_activity,0.568,1,0,1,0,0,0.8718,40,1,needs_review
s64,group_cleanup,group_cleanup description 64,0.7874,group_cleanup,0.5466,4,0,0,0,0,0.6926,39,1,needs_review
s65,jogging_group,jogging_group description 65,0.7938,jogging_group,0.3386,1,1,1,0,0,0.3774,45,1,needs_review
s66,kindness_activity,kindness_activity description 66,0.8769,kindness_activity,0.9538,4,0,0,1,1,0.3317,9,1,rejected
s67,group_cleanup,group_cleanup description 67,0.1477,group_cleanup,0.3138,3,0,1,0,0,0.4556,27,1,rejected
s68,kindness_activity,kindness_activity description 68,0.1506,recycling,0.8343,4,1,0,1,1,0.6395,48,0,rejected
s69,kindness_activity,kindness_activity description 69,0.3742,kindness_activity,0.8053,3,1,1,0,1,0.3674,80,1,rejected
s70,recycling,recycling description 70,0.4216,recycling,0.5032,1,0,1,0,0,0.6518,33,1,needs_review
s71,jogging_group,jogging_group description 71,0.1885,jogging_group,0.5285,0,0,1,1,0,0.6771,16,1,rejected
s72,kindness_activity,kindness_activity description 72,0.4796,kindness_activity,0.4722,0,1,1,0,0,0.2361,61,1,rejected
s73,energy_saving,energy_saving description 73,0.9237,energy_saving,0.6402,3,1,1,0,1,0.7915,78,1,needs_review
s74,recycling,recycling description 74,0.2383,group_cleanup,0.5035,2,1,0,0,1,0.3276,53,0,rejected
s75,recycling,recycling description 75,0.7222,recycling,0.9197,0,1,1,0,1,0.9068,26,1,approved
s76,jogging_group,jogging_group description 76,0.8563,group_cleanup,0.5285,1,1,1,1,1,0.3782,11,0,needs_review
s77,energy_saving,energy_saving description 77,0.586,energy_saving,0.406,2,0,1,0,1,0.8179,66,1,rejected
s78,recycling,recycling description 78,0.1824,recycling,0.7404,0,1,0,1,1,0.5532,38,1,rejected
s79,group_cleanup,group_cleanup description 79,0.6456,group_cleanup,0.556,3,1,0,1,0,0.3975,64,1,approved
s80,kindness_activity,kindness_activity description 80,0.2923,kindness_activity,0.3425,5,0,0,1,1,0.928,80,1,rejected
s81,recycling,recycling description 81,0.5706,recycling,0.8647,3,1,0,1,1,0.2592,9,1,rejected
s82,jogging_group,jogging_group description 82,0.5855,jogging_group,0.6943,4,0,0,1,0,0.9118,26,1,needs_review
s83,recycling,recycling description 83,0.7872,energy_saving,0.3541,5,1,0,0,1,0.4398,13,0,needs_review
s84,group_cleanup,group_cleanup description 84,0.4299,group_cleanup,0.525,2,1,0,1,0,0.5108,23,1,needs_review
s85,jogging_group,jogging_group description 85,0.5997,jogging_group,0.9484,0,0,1,1,1,0.3981,67,1,rejected
s86,jogging_group,jogging_group description 86,0.6176,kindness_activity,0.5781,4,1,0,1,1,0.7179,11,0,needs_review
s87,energy_saving,energy_saving description 87,0.8827,energy_saving,0.314,2,1,1,1,0,0.9294,34,1,needs_review
s88,recycling,recycling description 88,0.3554,recycling,0.8341,2,1,1,0,0,0.5313,57,1,needs_review
s89,energy_saving,energy_saving description 89,0.7456,energy_saving,0.8665,4,0,0,1,1,0.3017,72,1,rejected
s90,jogging_group,jogging_group description 90,0.1246,recycling,0.8775,1,0,1,0,1,0.7285,40,0,rejected
